N,P,K,temperature,humidity,ph,rainfall,label
26,65,24,27.9384,55.1775,6.218,106.0824,pigeonpeas
46,58,78,15.0599,15.6132,5.8478,41.0343,chickpeas
50,47,25,20.9636,54.8971,6.6409,29.8519,cumin
90,51,74,26.433,60.985,6.9569,65.2956,tomato
91,13,46,27.1268,90.8454,6.3918,26.0786,muskmelon
79,51,42,21.8657,59.9627,6.6316,93.9887,wheat
119,60,72,26.7436,65.2208,6.9043,71.1936,tomato
90,51,69,21.6488,78.4876,6.2675,75.0602,cabbage
24,7,8,20.5358,91.2826,6.6032,115.0796,orange
121,30,75,26.8463,79.1056,5.0361,232.4489,pepper
91,33,59,26.9961,80.9247,5.9605,252.0319,pepper
91,10,52,29.7898,93.7803,6.1248,27.7783,muskmelon
28,57,23,27.0388,45.4371,9.417,60.8681,mothbeans
57,67,46,22.4564,63.3291,6.0461,72.4727,wheat
105,35,64,21.1486,82.9112,5.092,232.5173,cardamom
102,17,26,25.9557,64.8123,6.0444,189.5584,coffee
99,54,148,17.0871,81.5882,5.7597,88.6247,potato
10,72,24,34.3527,57.5547,6.035,111.2972,pigeonpeas
88,81,54,25.1481,80.0912,6.1179,98.8281,banana
104,48,101,20.0157,63.219,5.899,94.9634,tobacco
71,49,73,19.5316,60.3145,6.2806,49.7556,garlic
14,72,18,28.2871,47.2687,6.3511,148.5791,pigeonpeas
50,59,47,38.2103,91.558,6.9404,242.8976,papaya
98,54,134,17.1871,81.1415,5.5716,77.0954,potato
38,130,203,28.136,81.9689,5.5665,68.2898,grapes
155,21,43,29.0583,79.6367,5.0496,266.4361,tea
70,40,44,24.988,80.512,6.7592,156.3562,jute
19,59,20,20.3134,21.3048,5.7778,147.8947,kidneybeans
20,56,16,25.2981,69.6383,6.0221,49.702,lentil
117,43,117,25.3155,67.5153,5.886,96.6627,tobacco
16,58,42,26.6317,65.0956,6.6633,81.3434,groundnut
44,46,22,26.9069,64.8729,6.3538,44.4871,coriander
108,40,65,17.9991,87.1486,5.2459,345.2932,cardamom
71,41,44,23.6684,86.3822,6.4963,244.0537,rice
46,25,33,29.8837,61.4193,6.2144,56.478,sesame
96,16,52,27.5083,92.844,6.4124,22.5958,muskmelon
11,55,21,21.6572,19.1016,5.5138,67.754,kidneybeans
91,16,31,26.5051,63.7546,6.604,177.294,coffee
34,47,35,21.3486,46.6537,7.3593,37.4169,cumin
31,37,35,26.9871,42.6753,7.1586,34.838,cumin
22,11,29,26.3477,96.4394,5.3907,225.3894,coconut
89,43,111,29.4678,83.492,5.7965,249.1499,turmeric
26,18,42,19.8001,87.7723,6.3701,104.7368,pomegranate
39,70,45,20.0031,62.5295,6.5358,58.2887,peas
119,53,62,25.6343,67.6976,6.3275,91.5207,chilli
43,27,24,30.1655,59.7288,5.5829,59.1973,sesame
57,47,23,24.1421,64.9162,6.8213,41.8837,coriander
50,62,39,16.6618,69.182,6.3971,99.9608,wheat
49,28,25,27.9645,61.8679,6.298,30.212,sesame
120,23,53,26.3368,75.9564,5.1704,258.03,pepper
60,51,44,22.2559,58.8385,6.0146,67.7382,wheat
30,121,199,22.992,90.246,5.8724,107.7601,apple
45,65,84,19.2059,14.0515,6.3457,33.7513,chickpeas
123,46,38,22.5344,77.2233,6.5943,71.3635,cotton
13,50,24,27.0622,89.4086,6.2246,36.3165,mungbean
89,45,125,25.4344,64.5451,5.6379,115.295,tobacco
52,43,121,26.6658,73.2945,6.1484,87.0323,sweetpotato
66,46,121,27.3104,62.3969,6.2764,95.6897,sweetpotato
60,57,40,23.5678,63.426,6.4347,66.1666,wheat
85,15,45,24.6915,89.7663,6.8761,52.1689,watermelon
86,11,54,24.2217,83.9722,6.7004,41.5584,watermelon
80,42,29,24.2703,59.3275,6.3555,73.92,maize
10,63,21,22.7732,63.4786,6.6248,42.168,lentil
20,50,43,13.4346,64.0208,7.3032,63.5741,peas
38,61,15,32.4843,62.2428,6.7621,70.5671,blackgram
46,33,117,23.6581,65.6271,5.6272,77.4205,sweetpotato
102,40,60,21.3477,75.0609,6.0456,56.5853,cabbage
89,64,63,20.263,63.1052,6.5741,62.7694,onion
23,124,197,22.2631,94.2862,6.174,104.9491,apple
76,47,103,31.7851,82.4257,5.8586,205.776,turmeric
127,33,62,24.2984,76.4133,4.6106,271.7058,tea
91,90,53,26.5929,81.1833,5.9219,104.3747,banana
98,21,34,27.7984,60.4932,6.4109,192.2235,coffee
101,53,66,24.1245,63.2726,6.9923,62.9067,chilli
50,36,30,26.8816,43.4655,7.3227,36.3294,cumin
57,25,37,34.4416,48.4127,6.5791,76.9072,sorghum
89,61,61,15.9159,71.7461,6.8728,74.566,onion
11,62,18,24.9183,69.6834,6.0317,45.1725,lentil
61,43,76,18.566,59.2922,6.9184,51.7943,garlic
62,38,115,20.6013,73.6325,5.7042,88.2469,sweetpotato
112,33,77,20.0761,79.1825,5.4841,250.1249,cardamom
52,47,27,21.0938,51.944,6.2398,37.2907,mustard
28,61,17,16.2516,24.7935,5.9512,82.1423,kidneybeans
107,31,114,28.6072,60.761,5.7823,112.2741,tobacco
147,34,52,22.7395,86.722,4.8565,284.6155,tea
45,32,26,30.1629,51.497,6.2727,30.9079,millets
100,56,74,25.2678,66.7973,6.8918,78.3733,tomato
22,51,15,29.0292,81.3373,6.2113,47.7891,mungbean
20,44,30,29.6845,53.9881,6.2326,55.1716,groundnut
35,57,82,22.2439,14.1636,6.7095,42.8348,chickpeas
21,52,30,24.9193,56.4836,6.4578,86.9462,groundnut
33,64,25,25.9935,64.7667,6.8338,63.7405,blackgram
52,41,31,18.4499,50.9065,6.3979,58.3194,mustard
120,27,82,16.2605,76.91,5.8535,294.6097,cardamom
122,47,88,31.8607,72.2456,5.8185,215.5417,sugarcane
26,9,6,34.0321,93.4358,7.1154,101.6634,orange
22,77,15,23.6463,49.4671,5.6535,129.676,pigeonpeas
57,40,20,23.0348,63.359,6.2667,46.8628,mustard
12,21,38,21.9046,85.5871,6.3575,100.5921,pomegranate
39,129,197,19.9999,80.8336,5.8207,66.6289,grapes
127,31,68,30.8632,72.2501,6.5154,180.0399,sugarcane
72,69,45,17.3384,54.7245,6.1591,87.869,wheat
48,22,24,28.9619,44.597,5.6434,34.5344,millets
85,87,55,27.3414,78.3777,6.3567,107.9076,banana
65,25,39,33.9422,62.437,7.4228,79.2013,sorghum
39,59,50,23.0982,91.9184,6.7705,233.7004,papaya
15,26,30,33.9117,52.2422,4.8147,95.6572,mango
81,44,39,25.0472,71.4796,6.1891,174.6004,jute
87,35,37,24.427,87.1495,6.3506,201.6188,rice
129,46,78,33.7774,60.4614,6.2924,206.3823,sugarcane
83,88,51,27.073,78.7992,6.1474,96.6013,banana
97,49,63,18.4502,82.2446,6.7332,76.2315,cabbage
13,127,194,22.9746,94.7129,5.999,116.1174,apple
25,62,15,15.002,24.2254,5.9919,107.1037,kidneybeans
89,10,46,28.2265,90.1265,6.7871,21.7705,muskmelon
71,51,77,19.9214,61.5145,6.4636,40.1913,garlic
108,32,74,28.0238,65.2842,6.1639,183.0518,sugarcane
97,14,46,29.163,91.9791,6.0024,24.9003,muskmelon
79,68,63,20.0191,66.6648,6.4953,64.8878,onion
74,49,87,27.0107,80.7387,5.9297,209.2119,ginger
80,48,72,21.6279,68.9873,6.2654,61.3196,tomato
126,35,55,25.0995,87.6537,5.2608,288.6117,pepper
72,45,98,27.8161,78.5285,6.8699,229.9985,turmeric
30,43,21,29.7986,85.7172,6.3761,38.8269,mungbean
105,41,101,22.4746,60.9924,6.4626,109.6595,tobacco
58,44,34,21.7683,52.4722,6.5835,46.9385,mustard
82,77,52,27.2281,76.7791,6.1973,108.7734,banana
49,52,49,27.1194,91.6203,6.9713,245.5211,papaya
112,31,63,31.9577,71.9903,6.7456,159.0758,sugarcane
100,41,106,25.7276,80.3911,6.2457,197.6238,ginger
50,36,45,15.4146,56.3159,6.4625,47.15,barley
39,60,50,40.138,93.7983,6.9177,247.8426,papaya
60,55,77,16.0557,71.566,6.1341,63.704,onion
16,22,27,26.4598,97.5917,5.2144,185.0374,coconut
104,20,71,24.2426,81.9817,5.3953,325.048,cardamom
117,50,84,30.8673,64.4176,7.2579,240.8491,sugarcane
81,41,66,26.9661,82.4494,5.8707,238.4828,rubber
111,38,64,17.6602,82.4046,5.151,271.1719,cardamom
83,48,62,24.6888,77.6992,6.542,59.2748,tomato
15,41,22,28.0196,86.1017,6.8082,44.8631,mungbean
54,41,63,15.2108,66.0483,6.9331,54.7352,garlic
30,52,53,39.2501,92.6443,6.9479,241.061,papaya
55,37,35,26.5012,45.5437,7.2087,66.3912,sorghum
94,70,62,17.3615,75.079,6.8329,58.6624,cauliflower
32,55,15,33.502,60.9529,6.5049,62.8035,blackgram
11,60,15,21.2495,19.5049,5.7471,69.5991,kidneybeans
37,61,15,28.5183,61.8881,6.7857,70.5888,blackgram
120,52,67,26.2456,62.8298,6.3634,62.5633,tomato
40,46,46,28.6283,94.2842,6.6034,242.524,papaya
70,51,77,17.766,70.3174,6.421,65.3666,onion
120,41,60,24.9845,74.7031,6.4689,67.9887,tomato
48,37,26,33.0248,50.398,6.5566,57.3713,sesame
96,51,70,15.9768,74.937,6.4944,55.4364,cauliflower
31,53,37,27.4633,67.1833,6.1439,101.9775,soybeans
43,33,34,29.4758,56.8652,5.795,33.5582,sesame
22,59,51,19.5866,71.1572,7.0115,60.7946,peas
15,129,195,22.6294,94.4525,5.9912,101.836,apple
14,12,34,29.8295,95.6667,5.9744,191.7889,coconut
30,18,14,30.4324,94.0983,6.5709,102.06,orange
77,52,41,18.5543,65.1459,6.2623,77.7496,wheat
25,55,56,20.6423,64.4413,7.1466,78.5013,peas
78,50,48,24.0524,50.0955,6.7993,67.5599,sunflower
19,48,15,28.7544,87.2447,6.4409,49.3621,mungbean
83,43,129,25.0753,60.8523,6.03,107.707,tobacco
104,54,72,18.4373,80.6712,6.1795,57.964,cabbage
46,26,24,27.0073,61.5073,5.9504,50.3898,sesame
22,70,54,24.808,67.9796,6.1411,70.283,soybeans
11,15,43,22.9044,86.7022,6.2833,109.0626,pomegranate
90,31,113,28.3072,66.9582,5.7684,113.954,tobacco
102,39,77,27.2804,72.7857,5.3091,282.1336,pepper
14,54,21,29.6433,87.7968,7.0324,39.34,mungbean
24,59,25,27.553,69.0146,5.9275,43.8409,lentil
110,41,64,29.2122,68.1056,6.8289,86.1747,chilli
19,58,23,26.4067,47.6545,5.4352,67.8243,mothbeans
82,35,38,24.6936,87.9915,5.7719,245.1993,rice
18,47,17,25.376,54.0169,5.3976,57.5974,mothbeans
15,49,45,23.6626,69.1854,6.9849,85.3687,groundnut
56,30,28,27.9787,52.5004,6.64,31.231,millets
48,45,24,34.9432,52.3573,5.8996,78.7066,sorghum
72,45,42,22.8522,89.9517,5.599,204.6635,rice
95,45,98,24.1375,77.4884,5.5065,205.883,ginger
26,60,39,24.1557,63.7447,6.7704,74.0622,groundnut
83,11,48,26.154,83.8116,6.7394,52.987,watermelon
31,50,55,25.1518,94.8671,6.9173,231.1622,papaya
81,13,50,29.5379,94.932,6.2913,25.2264,muskmelon
14,57,17,16.8541,20.9556,5.6056,81.6288,kidneybeans
78,50,99,29.9945,80.3917,6.2914,182.0959,ginger
21,30,25,27.9964,51.0376,6.9288,94.9784,mango
12,16,5,28.2532,93.3731,7.8088,106.6726,orange
12,50,25,29.9686,83.401,6.9652,47.0369,mungbean
116,44,41,22.6673,77.7209,6.2199,65.7227,cotton
41,41,47,14.3118,49.3304,6.5004,43.6545,barley
22,63,21,21.0143,62.3551,6.381,39.4315,lentil
43,63,15,30.1059,60.0673,6.9937,66.0398,blackgram
70,48,36,20.2459,50.7946,6.7173,40.409,mustard
80,43,36,22.5661,85.2752,5.7154,205.5133,rice
